#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-06T05:36:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8abf0a9c6a	
#INFO	-out.max=99999	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=99999
#-nav=cat:J/A+A/530/A138&tab:{J/A+A/530/A138/catalog}&key:source=J/A+A/530/A138&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/530/A138/catalog
#-order=I
#-out=HIP
#-out=Name
#H09=H09
#-out=logg
#-out=Teff
#-out=e_Teff
#-out=[Fe/H]
#-out=RAJ2000
#-out=DEJ2000
#
#RESOURCE=yCat_35300138
#Name: J/A+A/530/A138
#Title: Geneva-Copenhagen survey re-analysis (Casagrande+, 2011)
#Table	J_A_A_530_A138_catalog:
#Name: J/A+A/530/A138/catalog
#Title: *Stellar parameters
#Column	HIP	(I6)	? Hipparcos number (2) [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Name	(a12)	Other name (3)	[ucd=meta.id]
#Column	logg	(F5.2)	? Surface gravity (5)	[ucd=phys.gravity]
#Column	Teff	(F5)	? Effective temperature (6)	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5)	? Teff error (7)	[ucd=stat.error;phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#HIP;Name;logg;Teff;e_Teff;[Fe/H];RAJ2000;DEJ2000
# ; ;[cm/s2];K;K;[Sun];"h:m:s";"d:m:s"
# Note: Values for Sun from Prsa et al. 2016, IAU defined values.
#------;------------;-----;-----;-----;-----;----------;---------
 85726;HD 158917   ; 4.36; 6318;   74;-0.07;17 31 05.8;+21 01 16
 85877;HD 158940   ; 4.13; 6431;  108;-0.27;17 33 00.3;-24 19 23
 85799;HD 159063   ; 4.26; 6456;  115; 0.22;17 31 54.1;+16 49 26
 85918;HD 159086   ; 3.63; 6790;  114; 0.06;17 33 26.9;-18 20 23
 86001;HD 159162   ; 4.10; 6062;   72; 0.06;17 34 38.1;-33 39 49
 85810;HD 159222   ; 4.37; 5786;   49; 0.15;17 32 00.9;+34 16 16
 85911;HD 159243   ; 4.43; 6085;   71; 0.02;17 33 21.5;+05 42 02
 86288;HD 159264   ; 4.54; 5545;   62;-0.30;17 37 53.6;-61 46 50
 85924;HD 159269   ; 4.22; 6822;  106;-0.25;17 33 33.1;+07 10 41
 86079;HD 159279   ; 4.19; 6577;   83; 0.07;17 35 30.2;-37 50 52
 85620;HD 159329   ; 4.41; 6164;   74;-0.08;17 29 44.4;+63 51 09
 85940;HD 159333   ; 3.92; 5906;   82;-0.10;17 33 52.8;+08 06 13
 85989;HD 159357   ; 4.32; 6299;   79;-0.20;17 34 29.4;-01 45 38
 86086;HD 159397   ; 4.36; 6397;   90;-0.22;17 35 34.0;-24 37 41
 85857;HD 159411   ; 4.40; 6621;   78;-0.18;17 32 43.2;+40 39 35
 88274;HD 159517   ; 3.83; 6403;   86; 0.09;18 01 34.1;-85 12 53
 85949;HD 159519   ; 4.30; 6470;  121;-0.09;17 33 58.6;+28 54 33
 86063;BD +18 3407 ; 4.51; 5070;   92;-0.34;17 35 19.8;+18 53 00
 86022;HD 159583   ; 4.24; 6699;   89; 0.03;17 34 46.8;+19 08 14
 86114;HD 159611   ; 3.86; 6879;  149;-0.29;17 35 54.2;-06 07 43
 86039;HD 159644   ; 3.57; 6207;   84; 0.26;17 35 01.8;+18 13 22
 86544;HD 159775   ; 3.86; 6231;  122; 0.13;17 41 10.5;-65 19 40
 86285;HD 159784   ; 3.96; 6084;   66; 0.50;17 37 51.0;-30 54 34
 86222;HD 159800   ; 4.17; 6718;  113;-0.04;17 37 13.2;-14 00 03
 86783;HD 159830   ; 4.10; 6200;   94;-0.31;17 43 59.4;-73 03 54
 86415;HD 159902   ; 4.39; 5663;   79;-0.35;17 39 27.8;-45 53 11
 86193;HD 159909   ; 4.31; 5746;   85; 0.02;17 36 50.2;+10 34 28
 86225;HD 159972   ; 3.89; 6424;   90;-0.10;17 37 14.4;+06 26 31
 85495;HD 160011   ; 4.25; 6540;  109; 0.04;17 28 19.5;+76 42 34
 86199;HD 160013   ; 4.45; 5337;   51; 0.14;17 36 55.7;+19 55 20
 86300;HD 160017   ; 4.05; 5997;  104;-0.03;17 38 01.1;-09 01 48
 86376;HD 160043   ; 4.10; 6339;   86;-0.20;17 39 00.6;-28 24 45
 85964;HD 160078   ; 4.07; 6393;   70;-0.03;17 34 09.1;+60 05 21
 86385;HD 160089   ; 4.30; 6028;   80; 0.00;17 39 05.9;-26 56 15
 86516;HD 160113   ; 3.79; 5770;   71;-0.05;17 40 50.2;-49 57 29
 86218;HD 160180   ; 4.38; 6939;  101;-0.05;17 37 07.6;+33 44 47
 86766;HD 160213   ; 3.99; 6454;  116;-0.35;17 43 45.4;-66 48 27
 86234;HD 160245   ; 4.13; 6059;   69; 0.30;17 37 20.8;+35 47 56
 86416;HD 160276   ; 4.03; 6886;  115;-0.06;17 39 28.1;-11 16 01
 86387;HD 160312   ; 3.52; 6492;  124;-0.19;17 39 06.5;+04 28 26
 86571;HD 160339   ; 3.42; 6478;  109; 0.32;17 41 28.7;-44 27 26
 86602;HD 160355   ; 3.70; 6557;   82; 0.15;17 41 50.3;-47 30 44
 86551;HD 160411   ; 3.88; 6097;   82; 0.33;17 41 15.6;-34 58 09
 86292;HD 160420   ; 4.42; 6017;  102;-0.28;17 37 55.1;+41 00 39
 86475;HD 160454   ; 3.87; 6927;  134;-0.40;17 40 09.8;-03 32 09
 86930;HD 160468   ; 3.66; 6743;  105; 0.04;17 45 44.2;-68 38 51
 86690;HD 160482   ; 4.30; 6261;   90;-0.15;17 42 46.9;-50 00 03
 86382;HD 160487   ; 3.83; 6240;  104;-0.22;17 39 05.1;+27 03 01
 86435;HD 160488   ; 3.71; 6495;   86; 0.09;17 39 40.1;+13 17 01
 86394;HD 160508   ; 4.07; 6257;   78; 0.04;17 39 12.6;+26 45 27
 86629;HD 160573   ; 3.92; 6089;  144; 0.13;17 42 03.6;-30 29 31
 86694;HD 160617   ; 3.87; 6048;   73;-1.59;17 42 49.3;-40 19 15
 86633;HD 160627   ; 3.88; 6930;   91; 0.05;17 42 05.2;-26 50 44
 86665;HD 160665   ; 4.11; 6922;   98; 0.06;17 42 27.0;-29 26 20
 86431;HD 160693   ; 4.37; 5901;   64;-0.56;17 39 36.8;+37 11 01
 85795;HD 160758   ; 3.68; 6609;   98;-0.01;17 31 51.4;+77 20 33
 86991;HD 160859   ; 4.47; 5888;   51;-0.15;17 46 35.9;-62 45 06
 86853;HD 160959   ; 4.28; 6838;   89;-0.12;17 44 45.3;-39 50 54
 87142;HD 160963   ; 4.17; 6845;  125;-0.10;17 48 15.9;-67 41 45
 86769;HD 161023   ; 4.18; 6746;   92;-0.38;17 43 48.4;-13 30 31
 86811;HD 161038   ; 3.81; 7082;  101;-0.39;17 44 17.7;-23 40 44
 87100;HD 161050   ; 4.08; 5962;   86; 0.00;17 47 46.0;-63 33 45
 87968;HD 161071   ; 4.17; 6663;   94; 0.04;17 58 09.3;-81 27 12
 87285;CD -71 1394 ; 4.20; 6793;  111;-0.37;17 50 06.7;-71 18 35
 86765;HD 161098   ; 4.52; 5645;   89;-0.25;17 43 44.2;-03 55 04
 86137;HD 161128   ; 3.59; 6469;   84; 0.17;17 36 10.2;+74 00 32
 87088;HD 161192   ; 4.16; 6857;  102;-0.31;17 47 42.1;-57 26 55
 86833;HD 161203   ; 3.90; 6115;  123; 0.11;17 44 34.7;-07 24 29
 86438;HD 161237   ; 4.12; 5998;   78; 0.13;17 39 41.3;+64 32 11
 86965;HD 161252   ; 4.23; 5885;   88;-0.02;17 46 17.5;-40 43 46
 87154;HD 161256   ; 4.29; 5646;   73; 0.13;17 48 22.2;-60 39 38
 86852;HD 161303   ; 4.18; 7013;  120;-0.02;17 44 44.2;+02 26 50
 86830;BD +67 1034 ; 3.97; 5457;   99;-0.46;17 44 32.8;+67 17 42
 87066;HD 161413   ; 4.62; 5646;   94;-0.14;17 47 30.6;-43 25 04
 87137;HD 161439   ; 4.02; 6482;   91; 0.09;17 48 14.3;-51 26 50
 87763;HD 161462   ; 4.51; 6407;   83;-0.39;17 55 40.8;-77 33 29
 86824;HD 161478   ; 4.29; 6295;  105; 0.05;17 44 27.9;+31 39 41
 87125;HD 161515   ; 3.78; 5887;   75;-0.08;17 48 01.6;-43 26 35
 86992;HD 161523   ; 4.29; 6171;   68;-0.08;17 46 36.3;-16 00 13
 86481;HD 161538   ; 3.90; 6383;   81;-0.13;17 40 16.9;+69 09 01
 86940;HD 161551   ; 4.28; 6201;   76;-0.10;17 45 54.1;+08 54 18
 86985;HD 161555   ; 4.07; 5942;  120; 0.23;17 46 31.8;-07 59 08
 87312;HD 161566   ; 3.91; 6152;   67;-0.20;17 50 25.5;-61 55 28
 86918;HD 161584   ; 4.32; 6825;   83; 0.13;17 45 36.6;+19 43 31
 87116;HD 161612   ; 4.47; 5606;   46; 0.21;17 47 57.5;-34 01 07
 87162;HD 161718   ; 4.16; 6275;   90; 0.23;17 48 26.2;-30 17 58
 86975;HD 161728   ; 4.10; 5878;   49; 0.02;17 46 27.8;+17 34 08
 87048;HD 161750   ; 4.12; 7216;  178;-0.40;17 47 09.9;+04 25 45
 86795;HD 161767   ; 3.96; 6355;   95;-0.09;17 44 07.5;+56 11 36
 87156;HD 161773   ; 4.13; 6836;  102;-0.26;17 48 22.5;-23 13 57
 87316;HD 161784   ; 4.15; 6153;   83; 0.04;17 50 30.1;-54 43 50
 87089;HD 161848   ; 4.54; 5102;   69;-0.21;17 47 42.0;+04 56 22
 86855;HD 161990   ; 4.15; 6204;   68;-0.30;17 44 45.8;+60 18 47
 87551;HD 162155   ; 3.72; 6980;  114;-0.29;17 53 11.1;-58 51 51
 86775;HD 162195   ; 4.27; 6216;   75; 0.00;17 43 55.7;+69 04 26
 87135;HD 162209   ; 4.31; 6081;   78; 0.13;17 48 13.0;+38 13 57
 87369;HD 162236   ; 4.58; 5387;   85;-0.02;17 51 07.3;-27 23 46
 87443;HD 162288   ; 3.81; 5673;   98; 0.01;17 52 03.9;-38 15 29
 87399;HD 162343   ; 3.53; 6274;  100; 0.31;17 51 39.1;-23 40 38
 87172;HD 162382   ; 4.05; 6730;  109;-0.07;17 48 37.2;+44 49 52
 86413;HD 162424   ; 4.08; 6808;  101;-0.05;17 39 25.4;+79 09 48
 86876;HD 162466   ; 4.25; 6212;   90;-0.18;17 44 59.3;+70 26 54
 87263;HD 162467   ; 3.92; 7023;  150;-0.09;17 49 52.5;+31 02 14
 87822;HD 162521   ; 4.33; 6631;  138;-0.05;17 56 24.2;-65 43 18
 87334;HD 162556   ; 3.76; 6190;   87; 0.13;17 50 43.5;+22 10 29
 87320;HD 162644   ; 3.95; 6657;  101;-0.02;17 50 33.0;+35 23 24
 87435;HD 162691   ; 4.20; 6732;  111;-0.16;17 52 00.8;+06 43 46
 87349;HD 162752   ; 4.07; 6495;   84;-0.15;17 50 55.1;+37 42 16
 87665;HD 162763   ; 4.32; 6543;   90;-0.08;17 54 24.3;-38 37 35
 87552;HD 162796   ; 3.90; 6024;  168;-0.16;17 53 11.5;-10 22 18
 87689;HD 162805   ; 4.18; 5858;   84; 0.13;17 54 38.6;-40 20 52
 87479;HD 162808   ; 4.35; 5943;   72; 0.04;17 52 25.5;+11 59 28
 87664;HD 162816   ; 4.23; 5627;   88; 0.14;17 54 24.0;-33 37 07
 87382;HD 162826   ; 4.26; 6123;   71; 0.10;17 51 14.0;+40 04 20
 87590;HD 162883   ; 4.37; 7156;  119;-0.14;17 53 34.8;-08 42 30
 87731;HD 162892   ; 4.34; 6297;   95;-0.10;17 55 12.9;-39 34 03
 87679;HD 162907   ; 4.43; 5497;   72; 0.21;17 54 30.0;-26 37 55
 87515;HD 162916   ; 4.21; 6716;   87; 0.06;17 52 49.2;+17 49 59
 87465;HD 162949   ; 4.04; 6730;   81;-0.09;17 52 16.9;+34 12 03
 87621;HD 163079   ; 3.90; 6592;  104; 0.12;17 53 56.8;+07 55 23
 87079;HD 163183   ; 4.47; 5968;   71;-0.15;17 47 38.1;+73 07 57
 87824;HD 163272   ; 4.33; 6054;  101; 0.26;17 56 24.4;-26 46 24
 87738;HD 163288   ; 4.28; 6348;   95;-0.09;17 55 20.9;+00 40 01
 87799;HD 163366   ; 3.93; 6463;   91;-0.04;17 56 08.6;-06 40 20
 87752;HD 163385   ; 4.34; 6505;  122;-0.01;17 55 27.8;+08 33 34
 87769;HD 163441   ; 4.31; 5682;   96; 0.06;17 55 45.3;+11 48 14
 87680;HD 163468   ; 3.88; 6353;   91; 0.29;17 54 30.8;+38 27 21
 87973;HD 163520   ; 3.86; 6626;  152; 0.27;17 58 10.8;-37 20 15
 87884;HD 163568   ; 4.31; 6211;   61;-0.07;17 57 09.9;-08 04 08
 87691;HD 163589   ; 3.96; 5512;   54; 0.21;17 54 40.0;+45 33 14
 87837;HD 163622   ; 4.42; 5994;   81;-0.04;17 56 42.0;+11 52 19
 87921;HD 163625   ; 3.99; 5745;   93;-0.16;17 57 35.6;-11 32 01
 87734;HD 163674   ; 3.83; 6346;   80; 0.10;17 55 16.0;+44 00 03
 88178;HD 163693   ; 4.43; 5563;   69;-0.05;18 00 30.4;-54 21 27
 88383;HD 163696   ; 3.83; 6432;  123;-0.02;18 02 54.1;-67 51 07
 87572;HD 163731   ; 4.20; 7050;  137;-0.04;17 53 24.5;+63 04 14
 87055;HD 163859   ; 4.44; 5812;   92;-0.19;17 47 19.0;+78 23 28
 88154;HD 163874   ; 4.12; 6036;   64; 0.22;18 00 18.4;-39 14 58
 87882;HD 163968   ; 4.26; 6940;   93;-0.23;17 57 08.5;+36 51 37
 82281;HD 163988   ; 3.31; 6314;   80; 0.28;16 48 43.2;+88 09 22
 87687;HD 164057   ; 4.37; 6631;   74;-0.03;17 54 38.6;+64 59 34
 88413;HD 164112   ; 4.22; 6251;   78;-0.44;18 03 06.7;-57 19 52
 88088;HD 164115   ; 3.75; 6840;  149;-0.15;17 59 27.0;+06 25 08
 88080;HD 164138   ; 3.92; 6450;   79; 0.00;17 59 18.5;+12 05 09
 88785;HD 164233   ; 4.44; 5742;   80;-0.13;18 07 28.0;-73 05 49
 88399;HD 164249   ; 4.31; 6582;  100;-0.09;18 03 03.4;-51 38 56
 88299;HD 164296   ; 4.43; 5909;   79;-0.09;18 01 55.2;-34 08 10
 87199;HD 164372   ; 3.89; 6878;  105;-0.17;17 48 51.7;+79 19 57
 88351;HD 164390   ; 4.06; 5593;   63;-0.08;18 02 31.2;-36 40 35
 88006;HD 164395   ; 3.49; 6019;   81; 0.04;17 58 38.0;+44 56 14
 88131;HD 164396   ; 3.98; 6553;  104;-0.21;18 00 06.1;+20 44 29
 88096;HD 164503   ; 4.38; 6362;   72;-0.05;17 59 31.7;+41 43 57
 87984;HD 164526   ; 4.22; 6438;   86;-0.21;17 58 21.6;+55 06 49
 88324;HD 164651   ; 4.45; 5641;   71;-0.03;18 02 17.8;+00 06 15
 88342;HD 164674   ; 3.86; 6092;   74;-0.12;18 02 28.5;-03 09 26
 88412;HD 164763   ; 4.33; 6728;   95;-0.06;18 03 06.4;-07 40 06
 88129;HD 164782   ; 4.09; 7091;  106;-0.42;18 00 03.8;+50 55 17
 88403;HD 164789   ; 3.63; 6638;  122; 0.04;18 03 04.3;-08 20 24
 89002;HD 164872   ; 3.99; 6669;   95; 0.08;18 09 54.8;-71 38 42
 88370;HD 164901   ; 4.03; 6240;   75;-0.08;18 02 42.9;+16 48 53
 88628;HD 165000   ; 4.28; 6427;   88;-0.33;18 05 44.1;-41 25 55
 88356;HD 165008   ; 3.94; 6646;   81; 0.14;18 02 34.6;+30 33 19
 88502;HD 165011   ; 4.07; 6198;   89; 0.17;18 04 20.4;-10 54 37
 88736;HD 165027   ; 4.17; 6237;   66;-0.21;18 06 55.0;-52 58 01
 88387;HD 165073   ; 4.31; 6329;   92;-0.06;18 02 55.9;+30 21 02
 88680;HD 165137   ; 4.16; 7081;  110;-0.11;18 06 12.5;-37 29 57
 88516;HD 165146   ; 4.00; 6674;   91; 0.09;18 04 32.2;+01 14 15
 88511;HD 165173   ; 4.55; 5505;   46; 0.10;18 04 26.3;+06 26 11
 88631;HD 165204   ; 4.34; 5607;   73; 0.28;18 05 46.7;-23 31 03
 88683;HD 165269   ; 4.10; 6294;  100; 0.46;18 06 13.7;-27 29 33
 88782;HD 165271   ; 3.97; 5958;   85; 0.19;18 07 26.2;-46 53 55
 88471;HD 165281   ; 4.15; 6289;   84; 0.03;18 03 53.4;+30 22 37
 87639;HD 165309   ; 3.70; 6609;   98; 0.11;17 54 05.7;+78 40 46
 88416;HD 165460   ; 3.86; 6299;   84;-0.10;18 03 08.9;+52 51 40
 88883;HD 165471   ; 3.72; 6570;   85; 0.26;18 08 43.9;-49 20 43
 88644;HD 165476   ; 4.24; 5813;   78;-0.08;18 05 52.2;+07 05 26
 88545;HD 165540   ; 3.89; 6328;   81;-0.11;18 04 49.2;+37 50 02
 88533;HD 165567   ; 4.04; 6350;   78; 0.13;18 04 43.1;+40 05 03
 88837;HD 165598   ; 3.43; 6620;  104; 0.12;18 08 02.7;-31 00 04
 88740;HD 165610   ; 3.71; 6233;   81; 0.01;18 06 55.8;-03 14 00
 88724;HD 165672   ; 4.38; 6009;   94; 0.16;18 06 48.8;+06 24 37
 88954;HD 165696   ; 4.31; 6539;  103; 0.08;18 09 27.4;-45 56 18
 89437;HD 165736   ; 4.12; 6585;   98;-0.16;18 15 11.9;-74 02 19
 88483;HD 165862   ; 4.20; 6339;   75; 0.02;18 04 02.6;+61 34 04
 88572;HD 165863   ; 4.47; 5555;   70; 0.10;18 05 05.7;+53 21 59
 88898;HD 166073   ; 3.83; 6433;   75;-0.02;18 08 52.4;+01 59 44
 89036;HD 166081   ; 4.24; 5851;   65;-0.14;18 10 20.8;-31 06 43
 89285;HD 166154   ; 4.18; 6553;  114;-0.07;18 13 07.9;-60 08 35
 88799;HD 166579   ; 4.33; 6247;   77;-0.03;18 07 36.6;+58 58 32
 89014;HD 166601   ; 4.10; 6439;   67; 0.02;18 10 02.6;+30 50 25
 89315;HD 166649   ; 3.95; 6287;   75; 0.13;18 13 28.4;-39 42 41
 89128;HD 166685   ; 4.36; 6330;   84; 0.07;18 11 23.7;+11 31 43
 89354;HD 166724   ; 4.63; 5101;   81; 0.07;18 13 59.6;-42 34 31
 89045;HD 166729   ; 3.75; 6352;   77; 0.08;18 10 27.3;+35 10 17
 89373;HD 166793   ; 4.11; 6818;  127; 0.03;18 14 19.5;-43 09 15
 89496;HD 166891   ; 4.03; 6737;  115;-0.14;18 15 48.7;-55 21 20
 89554;HD 166913   ; 4.19; 6267;   81;-1.51;18 16 25.6;-59 24 11
 89558;HD 166972   ; 4.20; 6646;   84;-0.04;18 16 28.5;-57 26 49
 89159;HD 167043   ; 3.94; 6202;   91; 0.14;18 11 46.8;+37 53 14
 89969;HD 167062   ; 4.09; 6663;   84;-0.13;18 21 25.0;-74 22 28
 89227;HD 167191   ; 3.96; 6472;   92;-0.12;18 12 30.2;+35 33 38
 89733;HD 167300   ; 4.08; 5814;  102;-0.44;18 18 44.5;-61 56 06
 89497;HD 167359   ; 4.61; 5429;   91;-0.11;18 15 49.0;-23 48 57
 89282;HD 167389   ; 4.45; 5894;   72;-0.06;18 13 07.2;+41 28 31
 89349;HD 167391   ; 3.93; 6899;  102;-0.05;18 13 54.8;+26 45 22
 88658;HD 167407   ; 4.10; 6106;   75; 0.14;18 06 02.1;+76 07 54
 89011;HD 167469   ; 3.98; 6169;   91;-0.13;18 10 01.3;+67 46 54
 89360;HD 167491   ; 4.21; 6902;  112; 0.12;18 14 04.8;+31 32 23
 88901;HD 167534   ; 3.58; 6548;   90;-0.19;18 08 53.1;+72 09 09
 89248;HD 167535   ; 3.93; 6359;   69; 0.24;18 12 43.4;+53 33 27
 89421;HD 167538   ; 3.94; 6584;   95;-0.08;18 14 57.5;+18 28 28
 89632;HD 167554   ; 4.57; 5214;   70;-0.21;18 17 29.6;-38 26 51
 90094;HD 167586   ; 4.29; 6132;   76;-0.21;18 23 06.8;-73 00 51
 89408;HD 167588   ; 3.97; 5997;   57;-0.18;18 14 44.0;+29 12 26
 89916;HD 167736   ; 4.03; 6463;   84;-0.19;18 20 52.0;-62 56 46
 89374;HD 167763   ; 3.90; 6528;   91; 0.18;18 14 19.6;+47 13 14
 89481;HD 167781   ; 4.03; 6793;   96;-0.01;18 15 37.9;+27 11 19
 89797;HD 167825   ; 3.63; 6952;   96;-0.20;18 19 34.0;-49 20 49
 89950;HD 167854   ; 4.36; 6687;  101;-0.04;18 21 10.7;-62 11 34
 89808;HD 167954   ; 4.25; 6169;   75; 0.16;18 19 41.2;-45 41 56
 89476;HD 168066   ; 3.69; 6886;   91;-0.19;18 15 34.1;+47 33 39
 89452;HD 168093   ; 4.24; 6109;   73;-0.05;18 15 20.0;+50 58 16
 89344;HD 168266   ; 4.08; 7070;   99;-0.04;18 13 48.6;+66 28 20
 89711;HD 168363   ; 4.09; 6192;   64;-0.13;18 18 32.2;+18 22 50
 89828;HD 168393   ; 3.81; 6584;  149; 0.00;18 19 52.1;-11 17 15
 89844;HD 168443   ; 4.06; 5566;   52; 0.09;18 20 03.9;-09 35 44
 89893;HD 168451   ; 3.37; 6252;  169; 0.05;18 20 32.5;-20 12 58
 89643;HD 168601   ; 3.42; 6419;   86; 0.26;18 17 38.7;+53 44 42
 89774;HD 168621   ; 3.97; 6675;  117;-0.22;18 19 12.1;+34 07 33
 90278;HD 168690   ; 3.87; 6945;  108; 0.07;18 25 13.4;-62 30 06
 90004;HD 168746   ; 4.33; 5574;   92; 0.00;18 21 49.7;-11 55 21
 89756;HD 168774   ; 4.24; 6283;   76; 0.08;18 18 59.5;+48 34 14
 89988;HD 168782   ; 3.79; 6754;  117;-0.09;18 21 37.3;-03 52 29
 90151;HD 168788   ; 4.45; 5338;   60; 0.10;18 23 50.9;-45 08 23
 90282;HD 168849   ; 4.29; 6668;  102;-0.11;18 25 16.7;-57 05 43
 89822;HD 168930   ; 4.30; 6496;   86; 0.03;18 19 49.5;+48 06 02
 89891;HD 168954   ; 4.25; 6704;   96;-0.13;18 20 30.8;+39 52 41
 89959;HD 168956   ; 4.33; 6326;  107;-0.34;18 21 15.8;+26 42 24
 90005;HD 168960   ; 4.16; 5967;   82; 0.14;18 21 50.3;+15 37 33
 90036;HD 169006   ; 3.88; 6118;   74; 0.00;18 22 18.0;+07 32 56
 89953;HD 169029   ; 4.18; 6579;   91;-0.22;18 21 11.8;+32 52 40
 90024;HD 169244   ; 4.08; 6205;  115;-0.22;18 22 08.9;+36 18 06
 90003;HD 169265   ; 4.05; 6481;   74; 0.17;18 21 49.6;+44 40 39
 90044;HD 169306   ; 3.54; 6647;   96; 0.05;18 22 24.8;+36 54 02
 90218;HD 169332   ; 3.94; 6854;  154;-0.22;18 24 30.0;-08 10 30
 89901;HD 169352   ; 3.50; 6769;  141; 0.12;18 20 42.0;+58 39 37
 90144;HD 169359   ; 4.16; 5916;   66;-0.19;18 23 47.0;+14 54 27
 90442;HD 169383   ; 4.09; 5782;   70;-0.41;18 27 12.9;-51 53 03
 90172;HD 169390   ; 3.50; 5845;  100;-0.09;18 24 01.3;+08 39 15
 91271;HD 169506   ; 3.96; 6454;   93; 0.52;18 37 02.6;-79 37 44
 89770;HD 169666   ; 4.14; 6611;  110; 0.03;18 19 08.2;+71 31 04
 90598;HD 169743   ; 4.67; 5136;   85;-0.17;18 29 13.2;-54 56 03
 90390;HD 169801   ; 3.89; 6870;  104;-0.28;18 26 37.1;-05 36 06
 90485;HD 169830   ; 4.07; 6325;   71; 0.23;18 27 49.4;-29 49 00
 90345;HD 169840   ; 4.30; 6657;  105; 0.04;18 26 01.0;+15 45 30
 90922;HD 169864   ; 4.36; 6078;   95; 0.12;18 32 50.0;-70 06 13
 90310;HD 169886   ; 4.22; 6533;   76;-0.33;18 25 34.7;+27 41 38
 89911;HD 169905   ; 4.28; 6313;   90;-0.02;18 20 49.1;+70 04 23
 90504;HD 169919   ; 4.27; 6387;   81;-0.26;18 28 04.5;-28 23 09
 89478;HD 169925   ; 4.06; 6116;   64; 0.34;18 15 34.4;+79 03 53
 90404;HD 169957   ; 3.83; 6111;   87; 0.29;18 26 46.9;+08 06 06
 90258;HD 170002   ; 4.25; 6814;   92; 0.07;18 25 00.5;+46 16 02
 90691;HD 170091   ; 3.36; 6431;   88; 0.21;18 30 14.2;-49 29 20
 90605;HD 170144   ; 3.67; 6729;  152; 0.26;18 29 19.2;-31 33 31
 90674;HD 170149   ; 3.95; 6680;  110; 0.15;18 30 04.3;-43 50 02
 90539;HD 170232   ; 4.48; 5389;   90;-0.05;18 28 24.8;-03 52 33
 90565;HD 170248   ; 4.34; 5929;   63;-0.10;18 28 47.7;-10 13 35
 90415;BD +40 3374 ; 4.66; 5021;   85;-0.25;18 26 55.4;+40 42 50
 90548;HD 170294   ; 4.23; 5693;   88; 0.13;18 28 34.4;+00 47 49
 90655;HD 170331   ; 3.95; 5830;   64; 0.19;18 29 52.0;-26 01 31
 90393;HD 170357   ; 4.11; 5924;   83;-0.40;18 26 37.7;+46 05 01
 90584;HD 170448   ; 3.54; 6230;   91; 0.42;18 29 01.9;+11 39 01
 90792;HD 170462   ; 3.80; 5543;   61;-0.43;18 31 20.3;-38 34 16
 90593;HD 170469   ; 4.26; 5870;   55; 0.31;18 29 10.9;+11 41 43
 88653;HD 170489   ; 4.26; 6662;   94; 0.08;18 05 59.8;+84 39 21
 91321;HD 170505   ; 4.20; 6896;  105;-0.45;18 37 35.8;-74 22 42
 91439;HD 170506   ; 4.36; 6588;   85;-0.06;18 38 53.4;-76 29 57
 90660;HD 170513   ; 4.08; 6475;   75;-0.18;18 29 54.9;-03 59 07
 90618;HD 170542   ; 4.28; 6615;   84;-0.03;18 29 27.4;+13 51 17
 90657;HD 170579   ; 4.24; 6446;   75;-0.17;18 29 52.7;+09 11 56
 90665;HD 170598   ; 4.29; 7076;   98;-0.14;18 29 57.1;+10 28 58
 90873;HD 170641   ; 4.21; 6653;  102; 0.12;18 32 13.8;-38 05 55
 91221;HD 170691   ; 4.14; 6762;  117; 0.01;18 36 28.9;-69 04 54
 90896;HD 170706   ; 4.14; 5702;   69; 0.13;18 32 27.1;-37 05 18
 90869;HD 170768   ; 4.21; 5952;  128;-0.46;18 32 12.4;-26 29 47
 90936;HD 170773   ; 4.27; 6694;  126;-0.04;18 33 00.9;-39 53 31
 91050;HD 170806   ; 3.57; 6567;   87; 0.03;18 34 25.2;-54 05 17
 90810;HD 170818   ; 4.27; 6935;  135;-0.23;18 31 28.9;-01 38 05
 90527;HD 170850   ; 4.26; 6838;  147;-0.15;18 28 19.2;+55 40 26
 90963;HD 170865   ; 4.23; 5901;   80;-0.09;18 33 20.1;-37 19 47
 90975;HD 170869   ; 3.89; 5846;   79;-0.11;18 33 26.7;-39 29 13
 90973;HD 170958   ; 4.67; 5456;   77;-0.04;18 33 24.8;-29 52 00
 90745;HD 171009   ; 4.25; 6022;   74;-0.33;18 30 57.5;+33 55 58
 90736;HD 171065   ; 3.89; 6835;  103; 0.03;18 30 48.4;+40 29 17
